시대,ID,유형,힌트 여부,힌트
삼국시대,1,4지선다,x,
삼국시대,2,4지선다,x,
삼국시대,3,4지선다,x,
삼국시대,4,4지선다,x,
삼국시대,5,4지선다,x,
삼국시대,6,4지선다,o,"고구려는 졸본에 건국되었다가, 이곳으로 수도를 옮겼습니다. 태조왕은 옥저와 동예를 복속시킨 사람입니다. 나머지도 생각해보고 시대 순으로 나열해봅시다."
삼국시대,7,4지선다,x,
삼국시대,8,4지선다,x,
삼국시대,9,ox,x,
삼국시대,10,4지선다,x,
삼국시대,11,4지선다,x,
삼국시대,12,4지선다,x,
삼국시대,13,4지선다,x,
삼국시대,14,4지선다,x,
삼국시대,15,4지선다,x,
삼국시대,16,4지선다,x,
삼국시대,17,4지선다,x,
삼국시대,18,4지선다,o,백제의 (가) 회의는 이 바위에서 회의했다고 하여 (가) 회의로 불렸었죠.
삼국시대,19,ox,x,
삼국시대,20,4지선다,x,
삼국시대,21,4지선다,x,
삼국시대,22,4지선다,x,
삼국시대,23,4지선다,x,
삼국시대,24,4지선다,x,
삼국시대,25,ox,x,
삼국시대,26,4지선다,x,
삼국시대,27,4지선다,x,
삼국시대,28,4지선다,x,
삼국시대,29,4지선다,x,
삼국시대,30,4지선다,x,
삼국시대,31,ox,x,
삼국시대,32,4지선다,x,
삼국시대,33,4지선다,x,
삼국시대,34,4지선다,x,
삼국시대,35,4지선다,x,
삼국시대,36,4지선다,x,
삼국시대,37,4지선다,x,
삼국시대,38,4지선다,o,통일 신라의 지방 통치 조직하면 ( )주 ( )소경이 생각나야 합니다.그리고 이와 더불어 군대인 ( )서당 ( )정도 떠올릴 수 있어야 합니다.
삼국시대,39,4지선다,x,
삼국시대,40,ox,x,
삼국시대,41,4지선다,o,통일 신라의 지방 통치 조직하면 이것이 생각나야 합니다. 수도의 기능을 보완하고자 주요 지역에 (  )을 설치하였으므로 군사 조직이 아니라 영토에 관한 이야기가 나와야 합니다.
삼국시대,42,4지선다,o,"원효는 여러 경전의 교리들을 하나의 진리로 종합하는 사상 체계를 세웠으며, 누구든지 나무아미타불을 열심히 외면 극락에 갈 수 있다고 가르쳤습니다."
삼국시대,43,ox,x,
삼국시대,44,4지선다,o,"통일 신라 말에는 왕권이 크게 약화되었고, 여러 사상들이 유행하였습니다. 예를 들면 산과 땅, 물의 기운이 사람의 길흉화복에 영향을 미친다는 이것과, 경전의 이해보다는 수양을 통해 도를 깨우치는 것을 강조하는 이것이 있습니다."
삼국시대,45,4지선다,x,
삼국시대,46,4지선다,x,
삼국시대,47,4지선다,o,어떤 왕일 때 발해의 전성기를 맞이하였는지 생각해봅시다. 발해의 각 왕의 이름을 생각해본다면 어떤 왕이 어떤 업적이었는지 유추해볼 수 있습니다. 
삼국시대,48,ox,x,
삼국시대,49,4지선다,x,
삼국시대,50,4지선다,x,
삼국시대,51,4지선다,o,"민정 문서는 국가가 노동력 수취를 중시하였음을 보여주는 자료입니다. 신문왕은 녹읍을 폐지한 왕이죠. 녹읍을 폐지하고 무엇을 지급하였을까요? 통일 신라의 농민은 국가에 조세, 공물, 역을 부담하였답니다. 향과 부곡에 사는 사람들은 과연 일반 농민들보다 더 많은 양의 공물을 바쳐야 했습니다."
삼국시대,52,4지선다,o,"발해는 집집마다 가축을 많이 길러 말이 주요 수출품이었습니다. 또한 수렵이 활발했고, 여러 나라와 교류하였습니다. 이는 발해관과 신라도를 보면 알 수 있었죠."
삼국시대,53,4지선다,x,
삼국시대,54,ox,x,
삼국시대,55,4지선다,x,
삼국시대,56,4지선다,x,
삼국시대,57,4지선다,o,돌무지무덤은 지하에 구덩이를 파거나 지상에 목곽을 짜 놓고 돌무더기를 덮은 후 다시 그 위에 흙을 입혀 다진 무덤입니다.
삼국시대,58,4지선다,x,
삼국시대,59,4지선다,x,
삼국시대,60,4지선다,x,
삼국시대,61,4지선다,x,
삼국시대,62,4지선다,x,
삼국시대,63,4지선다,x,
삼국시대,64,ox,x,
삼국시대,65,ox,x,
