시대,ID,유형,힌트 여부,힌트
고려,1,ox,x,
고려,2,ox,x,
고려,3,ox,x,
고려,4,ox,x,
고려,5,ox,x,
고려,6,ox,x,
고려,7,ox,x,
고려,8,ox,x,
고려,9,ox,x,
고려,10,ox,x,
고려,11,ox,x,
고려,12,ox,x,
고려,13,ox,x,
고려,14,ox,x,
고려,15,ox,x,
고려,16,ox,x,
고려,17,ox,x,
고려,18,ox,x,
고려,19,ox,x,
고려,20,ox,x,
고려,21,4지선다,x,
고려,22,4지선다,x,
고려,23,4지선다,x,
고려,24,4지선다,x,
고려,25,4지선다,o,9재학당을 세운 학자를 찾아보세요.
고려,26,4지선다,x,
고려,27,4지선다,x,
고려,28,4지선다,x,
고려,29,4지선다,o,최충헌은 무신 정권기의 집권자입니다.
고려,30,4지선다,x,
고려,31,4지선다,o,거란의 3차 침입에서 해당 인물은 귀주대첩에서 승리를 거두며 거란을 크게 물리쳤습니다.
고려,32,4지선다,o,숙종때 편성된 군사 조직으로 기존의 고려 정규군과는 별개의 조직이며17만에 달하는 대규모 임시 전투부대였습니다.
고려,33,4지선다,o,원 간섭기 이전에 일어난 일을 찾아보세요.
고려,34,4지선다,o,공민왕은 반원 자주 정책과 왕권 강화정책을 펼쳤던 인물입니다. 이에 해당하지 않는 정책을 골라보세요.
고려,35,4지선다,x,
고려,36,4지선다,x,
고려,37,4지선다,o,문벌 귀족은 원 세력을 배경으로 성장한 세력으로 왕권이 약화되고 국가 재정이 궁핍해지는 결과를 가져왔습니다.
고려,38,4지선다,x,
고려,39,4지선다,x,
고려,40,4지선다,x,
고려,41,4지선다,o,김부식이 편찬하였으며 현존하는 가장 오래된 역사서를 찾아보세요.
고려,42,4지선다,x,
고려,43,4지선다,x,
고려,44,4지선다,o,동명왕편은 동명왕(주몽)을 칭송한 영웅 서사시입니다.
고려,45,4지선다,o,문제 속 ‘목판’이라는 말을 잘 생각해보세요.
고려,46,4지선다,o,고려시대 석탑은 다각 다층탑이 많은 특징을 보입니다.
고려,47,4지선다,x,
고려,48,4지선다,x,
고려,49,4지선다,x,
고려,50,4지선다,o,최승로의 시무 28조를 채택하여 유교를 정치 이념으로 확립한 왕이 누구인지 생각해봅시다.
고려,51,4지선다,x,
고려,52,4지선다,x,
고려,53,4지선다,x,
고려,54,4지선다,x,
고려,55,4지선다,x,
고려,56,4지선다,o,"권문세족은 원의 세력을 배경으로, 신진 사대부는 공민왕의 개혁 정치에 힘입어 성장한 세력입니다."
고려,57,4지선다,x,
고려,58,4지선다,o,"개경파는 보수세력, 서경파는 개혁세력이 주를 이루었습니다. "
고려,59,4지선다,o,최충헌은 무신 집권기에 정권을 장악한 인물입니다.
고려,60,4지선다,x,
고려,61,4지선다,x,
고려,62,4지선다,x,
고려,63,4지선다,x,
고려,64,4지선다,x,
고려,65,4지선다,x,
고려,66,4지선다,x,
고려,67,4지선다,o,신진 사대부는 공민왕의 개혁 정치로 성장한 세력입니다.
고려,68,4지선다,x,
고려,69,4지선다,x,
고려,70,4지선다,x,
고려,71,4지선다,x,
고려,72,4지선다,x,
고려,73,4지선다,x,
고려,74,4지선다,o,심성의 도야를 강조하며 성리학 수용의 사상적 토대를 마련한 사람을 찾아보세요.
고려,75,4지선다,x,
고려,76,4지선다,o,망이·망소이의 난은 무신집권기때 일어난 사건입니다. 
고려,77,4지선다,o,거란 → 여진 → 몽골순으로 고려에 침입하였습니다. 
고려,78,4지선다,o,공민왕은 반원정책을 펼첬던 왕입니다.
고려,79,4지선다,o,노비안검법을 실시한 왕은 광종입니다.
